Class,Order,Family,Species,Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Female Mb,GS Male Mb,GS Diff Mb
Actinopterygii,Salmoniformes,Salmonidae,Coregonus hoyi,male heterogametic,9,11,0.2006707,,,
Actinopterygii,Salmoniformes,Salmonidae,Coregonus kiyi,male heterogametic,8,10,0.22314355,,,
Amphibia,Anura,Alytidae,Discoglossus pictus,female heterogametic,3.08,3,-0.0263173,,,
Amphibia,Anura,Dicroglossidae,Fejervarya limnocharis,male heterogametic,2,2.2,0.09531018,,,
Amphibia,Anura,Pyxicephalidae,Pyxicephalus adspersus,female heterogametic,4,6,0.40546511,,,
Amphibia,Anura,Ranidae,Rana sakuraii,male heterogametic,3.25,3.45,0.05971924,,,
Amphibia,Anura,Ranidae,Rana tagoi tagoi,male heterogametic,2.9,3.2,0.09844007,,,
Amphibia,Anura,Ranidae,Rugosa rugosa,female heterogametic,2.52,1.89,-0.2876821,,,
Amphibia,Anura,Ranidae,Rana rugosa rugosa,,,,,,,
Amphibia,Caudata,Hynobiidae,Hynobius quelpaertensis,female heterogametic,5.54,5.21,-0.0614146,,,
Arachnida,Araneae,Scytodidae,Scytodes thoracica,male heterogametic,2,3,0.40546511,,,
Arachnida,Araneae,Theridiidae,Anelosimus eximius,male heterogametic,71,76,0.06805346,,,
Arachnida,Araneae,Theridiidae,Anelosimus eximius,male heterogametic,103,103,0,,,
Arachnida,Ixodida,Ixodidae,Amblyomma cajennense,male heterogametic,641.2,682.5,0.06242111,2982.9,2552.58,860.64
Arachnida,Sarcoptiformes,Acaridae,Tyrophagus neiswanderi,male heterogametic,232.1,124.6,-0.6220597,,,
Aves,Accipitriformes,Pandionidae,Pandion haliaetus,female heterogametic,6.59,6.48,-0.0168328,,,
Aves,Anseriformes,Anatidae,Anas discors,female heterogametic,22.3,17.4,-0.2481165,,,
Aves,Anseriformes,Anatidae,Anser albifrons,female heterogametic,20.3,22.3,0.09396579,,,
Aves,Anseriformes,Anatidae,Branta canadensis,female heterogametic,23.5,24.3,0.03347593,,,
Aves,Anseriformes,Anatidae,Branta leucopsis,female heterogametic,7,7.8,0.10821359,,,
Aves,Anseriformes,Anatidae,Bucephala albeola,female heterogametic,11.5,14.9,0.25901418,,,
Aves,Anseriformes,Anatidae,Bucephala clangula,female heterogametic,12,11,-0.0870114,,,
Aves,Anseriformes,Anatidae,Clangula hyemalis,female heterogametic,15.6,15.3,-0.0194181,,,
Aves,Anseriformes,Anatidae,Cygnus columbianus,female heterogametic,5.6,6.94,0.21453518,,,
Aves,Anseriformes,Anatidae,Mareca americana,female heterogametic,1.7,2.3,0.30228087,,,
Aves,Anseriformes,Anatidae,Mergus merganser,female heterogametic,13.8,12.5,v,,1956,
Aves,Charadriiformes,Laridae,Rissa tridactyla,female heterogametic,6.56,5.24,-0.2246691,,,
Aves,Charadriiformes,Scolopacidae,Calidris alpina,female heterogametic,3.9,8.6,0.79078565,,,
Aves,Charadriiformes,Scolopacidae,Calidris minutilla,female heterogametic,16,11.25,-0.3522206,,,
Aves,Charadriiformes,Scolopacidae,Phalaropus tricolor,female heterogametic,10,10,0,,,
Aves,Falconiformes,Falconidae,Falco mexicanus,female heterogametic,10.6,9.1,-0.1525796,,,
Aves,Galliformes,Phasianidae,Falcipennis canadensis,female heterogametic,5.3,13,0.89724254,,,
Aves,Galliformes,Phasianidae,Lagopus leucura,female heterogametic,12,15,0.22314355,,,
Aves,Galliformes,Phasianidae,Lyrurus tetrix,female heterogametic,3.81,2.53,-0.4094099,,,
Aves,Gruiformes,Gruidae,Grus leucogeranus,female heterogametic,32.3,36.2,0.11399189,,,
Aves,Passeriformes,Cardinalidae,Passerina cyanea,female heterogametic,11,11,0,,,
Aves,Passeriformes,Corvidae,Aphelocoma coerulescens,female heterogametic,4.82,4.52,-0.0642619,1515.9,1545.24,-58.68
Aves,Passeriformes,Corvidae,Corvus corone,female heterogametic,13,11,-0.1670541,,,
Aves,Passeriformes,Corvidae,Pica hudsonia,female heterogametic,2,3.5,0.55961579,,,
Aves,Passeriformes,Icteridae,Sturnella neglecta,female heterogametic,9,10,0.10536052,,,
Aves,Passeriformes,Leiotrichidae,Argya squamiceps,female heterogametic,2.95,4.3,0.37680985,,,
Aves,Passeriformes,Parulidae,Setophaga kirtlandii,female heterogametic,8,9,0.11778304,,,
